pair_id;participant_id;role;song_rank;artist;track_title;Track URI;Danceability;Energy;Valence;Tempo;Acousticness;Loudness;Instrumentalness;Speechiness;Liveness;Key;Mode;Time Signature
abc222;abc222_parent;parent;song_2;Redbone;Come and Get Your Love - Single Version;;731.0;804.0;957.0;107.383;172.0;-7.621;0.00028;0.0473;0.0685;11.0;0.0;4.0
ADH677;ADH677_child;child;song_2;EST Gee;Have mercy;spotify:track:1hssS4fYPc9EGQsppj2DaQ;602.0;698.0;278.0;155.099;0.0971;-6.265;0.0;208.0;147.0;11.0;1.0;4.0
ADH677;ADH677_parent;parent;song_2;Miles Davis;All Blues;spotify:track:0tYgqYrAgGTyi5GhYKsIkP;498.0;201.0;366.0;139.299;779.0;-16.266;0.00454;31.0;0.0718;0.0;1.0;3.0
Adr312;Adr312_child;child;song_2;Frank Sinatra, Julio Iglesias;Summer Wind;;485.0;384.0;454.0;99.325;344.0;-11.183;0.0;0.0314;0.0814;8.0;1.0;4.0
Adr312;Adr312_parent;parent;song_2;Queen;Bohemian Rhapsody;spotify:track:3z8h0TU7ReDPLIbEnYhWZb;0.39;395.0;247.0;144.32;288.0;-9.966;0.0;0.0501;207.0;0.0;0.0;4.0
ams789;ams789_child;child;song_2;Radiohead;reckoner;spotify:track:02ppMPbg1OtEdHgoPqoqju;523.0;656.0;214.0;104.271;511.0;-7.441;0.16;0.0262;0.0679;4.0;0.0;4.0
ams789;ams789_parent;parent;song_2;Michael Bublé;sway;;713.0;639.0;737.0;125.959;753.0;-5.529;0.0;0.0313;0.0878;2.0;0.0;4.0
bojack123;bojack123_child;child;song_2;a$ap rocky;punk rocky;spotify:track:5FSvy2wYKnurBi0Nq3wR9F;637.0;845.0;642.0;140.043;0.0102;-4.13;0.0276;0.0304;148.0;0.0;1.0;4.0
bojack123;bojack123_parent;parent;song_2;Lady Gaga, Bruno Mars;Die With A Smile;;521.0;592.0;535.0;157.969;308.0;-7.777;0.0;0.0304;122.0;6.0;0.0;3.0
Bonte123;Bonte123_child;child;song_2;Guns n' roses;November rain;spotify:track:3YRCqOhFifThpSRFJ1VWFM;294.0;0.64;226.0;79.79;16.0;-9.316;0.22;0.0291;112.0;11.0;1.0;4.0
Bonte123;Bonte123_parent;parent;song_2;slayer;South of heaven;spotify:track:3U9gogDStAfWxSm91PJuxb;0.31;991.0;0.0395;140.071;0.000132;-3.769;85.0;316.0;0.0969;5.0;0.0;4.0
ds13;ds13_child;child;song_2;Gregg Karukas;Girl in the Red Dress;spotify:track:7IGXCoBk68O6Yrt65WFPIL;756.0;531.0;838.0;119.991;318.0;-11.627;713.0;0.0403;0.0929;5.0;0.0;4.0
ds13;ds13_parent;parent;song_2;Bằng Kiều, Binz, Bùi Công Nam, Duy Khánh 周周, Thanh Duy, Thien Minh;Dẫu Có Lỗi Lầm;;407.0;401.0;202.0;128.1;0.27;-11.806;0.0;51.0;105.0;7.0;1.0;4.0
ibiza90;ibiza90_child;child;song_2;Radiohead;Black Star;spotify:track:6UO72VSXEONxdfLyABihs9;289.0;555.0;306.0;158.671;0.00312;-7.434;0.0496;0.0402;0.27;7.0;1.0;4.0
ibiza90;ibiza90_parent;parent;song_2;Iron Maiden;Fear of the Dark - Live '01;;0.2;962.0;144.0;123.028;0.00453;-5.968;0.0413;177.0;969.0;2.0;0.0;4.0
khanh67;khanh67_child;child;song_2;Rihanna;Where have you been;spotify:track:5WQQIDU3HRaMyPkob8mpFb;719.0;847.0;443.0;127.96;0.00201;-6.34;0.0204;0.0919;221.0;0.0;0.0;4.0
khanh67;khanh67_parent;parent;song_2;Shakira;Waka Waka (This Time for Africa) - K-Mix;;0.71;871.0;829.0;126.957;0.0116;-5.037;3E-06;0.0503;108.0;9.0;1.0;4.0
khanh69;khanh69_child;child;song_2;Justin Bieber, Nicki Minaj;Beauty And A Beat;;602.0;843.0;526.0;128.003;0.000688;-4.831;5.27e-05;0.0593;0.0682;0.0;1.0;4.0
